Year,Primary Enrollment,GDP
2001,7394582.0,34406.1824638092
2002,7325866.0,32820.7936433254
2003,7268928.0,35387.0374203599
2004,7257223.0,38298.9801712303
2005,7231854.0,37812.8950199948
2006,7229135.0,35991.546002862
2007,7220111.0,35779.0245416427
2008,7166285.0,39876.3039685725
2009,7156039.0,41308.9968370512
2010,7098862.0,44968.1562349739
2011,7029265.0,48760.0789494211
2012,6923951.0,49145.2804308193
2013,6801716.0,40898.6478964744
2014,6714539.0,38475.3952461838
2015,6638174.0,34960.6393843385
2016,6581949.0,39375.4731620781
2017,6531731.0,38834.0529341227
2018,6504523.0,39727.1165995928
2019,6494115.0,40458.0018755824
2020,6437302.0,39918.1675583443
